Close,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
"4th QTR, +/-7",3.0,13,4.3,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Alex Singleton,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Alex Singleton,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,5.0,3.0,2.0,1.5,2.0,-3.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Baron Browning,4.0,3.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
"4th QTR, +/-7",0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,1.0,50,50.0,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,8.0,87,10.9,1.0,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,D.J. Jones,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",2.0,5,1.7,0.0,5,3.0,4.0,2.0,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,0.0,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,1.0,7,7.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,1,1.0,0.0,1,,,,,,,,Jonas Griffith,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Jonathan Harris,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,2.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Josey Jewell,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Josey Jewell,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Justin Simmons,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Kareem Jackson,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,K'Waun Williams,7.0,5.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,9.0,5.0,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,K'Waun Williams,7.0,5.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,9.0,5.0,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
"4th QTR, +/-7",1.0,5,5.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",1.0,5,5.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Matt Henningsen,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
"4th QTR, +/-7",1.0,0,0.0,0.0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Randy Gregory,2.0,1.0,1.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"4th QTR, +/-7",,81,40.5,,44,,6.0,6.0,,,,,Riley Dixon,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,1.0,37.5,,,
Last 2 Min. Half,,44,44.0,,44,,0.0,0.0,,,,,Riley Dixon,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,44.0,,,
"4th QTR, +/-7",,25,2.1,0.0,8,0.0,0.0,0.0,0.0,0.0,,,Russell Wilson,,,,1.0,,,,,,0.0,,,,,,,12.0,,7.0,58.3,63.2
Last 2 Min. Half,,203,7.8,2.0,50,1.0,14.0,14.0,0.0,14.0,,,Russell Wilson,,,,1.0,,,,,,0.0,,,,,,,26.0,,17.0,65.4,114.7
"4th QTR, +/-7",0.0,12,12.0,0.0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,5.0,0,0.0,0.0,0,0.0,32.0,6.4,0.0,10.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",3.0,53,17.7,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Last 2 Min. Half,8.0,102,12.8,2.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
"4th QTR, +/-7",,0,0.0,0.0,0,,,,,,,,Zach Allen,3.0,1.0,2.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Last 2 Min. Half,,0,0.0,0.0,0,,,,,,,,Zach Allen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
