Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Ahead,2.0,5,2.5,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,29,9.7,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam Trautman,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Alex Singleton,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Alex Singleton,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Alex Singleton,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Baron Browning,13.0,8.0,5.0,3.5,2.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Baron Browning,6.0,3.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,-6,-6.0,0.0,-6,,,,,,,,Baron Browning,5.0,3.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Ahead,1.0,16,16.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Behind,5.0,93,18.6,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Johnson,,,,,,,,,,,,,,,,,,,,,
Behind,15.0,172,11.5,2.0,25,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Tied,2.0,17,8.5,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtland Sutton,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,D.J. Jones,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Essang Bassey,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,2.0,22,11.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Dulcich,,,,,,,,,,,,,,,,,,,,,
Behind,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Ahead,3.0,37,3.1,0.0,6,12.0,7.0,2.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,33,3.3,0.0,11,10.0,12.0,4.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,26,8.7,0.0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Ahead,2.0,14,7.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Behind,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Tied,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Ahead,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,18.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,8.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Josey Jewell,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Josey Jewell,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Josey Jewell,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Justin Simmons,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Justin Simmons,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,10.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,18.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,10.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,18.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Ahead,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,15,5.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Ahead,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,15,5.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Ahead,4.0,122,30.5,1.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,0,0.0,0.0,0,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Ahead,4.0,122,30.5,1.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,0,0.0,0.0,0,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Ahead,1.0,0,0.0,0.0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,3,3.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Mike Purcell,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,P.J. Locke,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,P.J. Locke,5.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Randy Gregory,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Randy Gregory,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Randy Gregory,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,90,45.0,,46,,3.0,3.0,,,,,Riley Dixon,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,1.0,43.5,,,
Behind,,124,41.3,,44,,6.0,6.0,,,,,Riley Dixon,,,,,,,,,,,,3.0,0.0,0.0,1.0,33.33,1.0,39.3,,,
Ahead,,187,8.9,2.0,60,1.0,2.0,2.0,0.0,2.0,,,Russell Wilson,,,,3.0,,,,,,0.0,,,,,,,21.0,,14.0,66.7,126.5
Behind,,561,7.5,4.0,50,4.0,32.0,8.0,0.0,15.0,,,Russell Wilson,,,,5.0,,,,,,1.0,,,,,,,75.0,,49.0,65.3,99.9
Tied,,43,5.4,0.0,13,2.0,23.0,11.5,0.0,14.0,,,Russell Wilson,,,,2.0,,,,,,1.0,,,,,,,8.0,,5.0,62.5,37.0
Ahead,1.0,31,6.2,0.0,12,5.0,20.0,20.0,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Behind,6.0,19,3.2,0.0,10,6.0,37.0,6.2,0.0,10.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Tied,2.0,4,4.0,0.0,4,1.0,15.0,7.5,0.0,9.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,12.0,211,17.6,1.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Behind,28.0,340,12.1,4.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Tied,13.0,183,14.1,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Tremon Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
Tied,1.0,0,0.0,0.0,0,0.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Zach Allen,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Zach Allen,5.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
